ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
GDDY,1,2026-08-04,beta_hedged,0.5696535977541721,1.0,5,0.005,89.08999633789062,182108200.0,vol_63d(+0.034) | atr_pct(+0.012) | vol_63d_rank(+0.010)
CHRW,2,2026-08-04,beta_hedged,0.5632697402840204,0.9948717948717949,5,0.005,154.75,438093937.0,vol_63d(+0.031) | atr_pct(+0.019) | vol_10d(+0.013)
STX,3,2026-08-04,beta_hedged,0.5622197616579829,0.9897435897435898,5,0.005,845.3499755859375,4629805778.0,atr_pct(+0.024) | vol_63d(+0.021) | close_vs_sma200(+0.014)
PANW,4,2026-08-04,beta_hedged,0.5578160831478399,0.9846153846153847,5,0.005,366.3399963378906,2183665147.0,close_vs_sma200(+0.028) | vol_63d(+0.017) | ret_5d(-0.011)
DASH,5,2026-08-04,beta_hedged,0.5464350301801454,0.9794871794871794,5,0.005,202.3699951171875,671332551.0,vol_63d(+0.015) | vol_10d(+0.008) | ret_63d(+0.008)
CDW,6,2026-08-04,beta_hedged,0.5454665594191647,0.9743589743589743,5,0.005,154.0,253962263.0,vol_63d(+0.023) | vol_63d_rank(+0.007) | ret_63d_rank(+0.006)
NTAP,7,2026-08-04,beta_hedged,0.544471961566174,0.9692307692307692,5,0.005,190.4600067138672,432237717.0,vol_63d(+0.022) | close_vs_sma200(+0.014) | ret_63d(+0.010)
TSLA,8,2026-08-04,beta_hedged,0.5444159780261036,0.9641025641025641,5,0.005,327.3500061035156,14075660943.0,vol_63d(+0.029) | ret_21d_rank(-0.010) | vol_10d(+0.010)
FTNT,9,2026-08-04,beta_hedged,0.5434239194542309,0.958974358974359,5,0.005,168.2899932861328,866875849.0,vol_63d(+0.016) | close_vs_sma200(+0.014) | ret_5d(-0.010)
AMD,10,2026-08-04,beta_hedged,0.5414252363706237,0.9538461538461539,5,0.005,518.5800170898438,13970984539.0,close_vs_sma200(+0.019) | atr_pct(+0.018) | ret_1d(-0.015)
AKAM,11,2026-08-04,beta_hedged,0.5387088442662485,0.9487179487179487,5,0.005,123.3499984741211,417052050.0,vol_63d(+0.021) | vol_63d_rank(+0.008) | ret_63d(+0.006)
FCX,12,2026-08-04,beta_hedged,0.5370562104727413,0.9435897435897436,5,0.005,67.30000305175781,907608699.0,vol_63d(+0.016) | vol_63d_rank(+0.008) | ret_63d(+0.007)
BLDR,13,2026-08-04,beta_hedged,0.5357521473459612,0.9384615384615385,5,0.005,75.37000274658203,171392261.0,vol_63d(+0.025) | amihud(+0.008) | vol_63d_rank(+0.007)
MU,14,2026-08-04,beta_hedged,0.532368103896144,0.9333333333333333,5,0.005,892.6699829101562,41738466297.0,close_vs_sma200(+0.032) | ret_1d(-0.014) | vol_10d(+0.013)
AMAT,15,2026-08-04,beta_hedged,0.532161182030434,0.9282051282051282,5,0.005,546.6199951171875,4498122460.0,atr_pct(+0.018) | vol_10d(+0.013) | ret_5d(-0.012)
GEV,16,2026-08-04,beta_hedged,0.5294258759430822,0.9230769230769231,5,0.005,1018.530029296875,3011599134.0,vol_63d(+0.013) | atr_pct(+0.012) | vol_10d(+0.009)
TECH,17,2026-08-04,beta_hedged,0.5289397371143839,0.9179487179487179,5,0.005,72.08999633789062,282755833.0,vol_63d(+0.019) | vol_63d_rank(+0.007) | atr_pct(-0.003)
NXPI,18,2026-08-04,beta_hedged,0.5261402873910775,0.9128205128205128,5,0.005,237.60000610351562,1148705501.0,vol_63d(+0.024) | vol_63d_rank(+0.006) | ret_10d(+0.004)
NOW,19,2026-08-04,beta_hedged,0.5242197244863694,0.9076923076923077,5,0.005,118.13999938964844,2608193906.0,vol_63d(+0.016) | ret_10d(-0.008) | vol_10d(+0.008)
CRL,20,2026-08-04,beta_hedged,0.5218072213957663,0.9025641025641026,5,0.005,234.1199951171875,191397326.0,vol_63d(+0.014) | vol_63d_rank(+0.005) | vol_21d(-0.005)
BBY,21,2026-08-04,beta_hedged,0.5215835741479569,0.8974358974358975,5,0.005,86.3499984741211,288979954.0,ret_63d(+0.008) | vol_63d_rank(+0.005) | close_vs_sma200(+0.004)
DXCM,22,2026-08-04,beta_hedged,0.5201904410580914,0.8923076923076924,5,0.005,86.94000244140625,387617246.0,vol_63d(+0.011) | ret_5d(-0.010) | ret_63d(+0.010)
MPWR,23,2026-08-04,beta_hedged,0.5191409759297635,0.8871794871794871,5,0.005,1335.030029296875,1274631706.0,vol_63d(+0.015) | atr_pct(+0.011) | vol_10d(+0.007)
KLAC,24,2026-08-04,beta_hedged,0.5191035658399623,0.882051282051282,5,0.005,195.4499969482422,2573447218.0,ret_1d(-0.016) | atr_pct(+0.014) | ret_63d(+0.008)
RL,25,2026-08-04,beta_hedged,0.518597813231624,0.8769230769230769,5,0.005,377.9200134277344,234698312.0,vol_63d(+0.007) | ret_63d(+0.004) | vol_63d_rank(+0.004)
WDAY,26,2026-08-04,beta_hedged,0.5180176761163634,0.8717948717948718,5,0.005,171.27999877929688,697000901.0,vol_63d(+0.020) | ret_10d(-0.008) | vol_63d_rank(+0.008)
TGT,27,2026-08-04,beta_hedged,0.5174001106980715,0.8666666666666667,5,0.005,148.11000061035156,510674549.0,close_vs_sma200(+0.007) | vol_63d(-0.007) | close_vs_sma50(+0.004)
ON,28,2026-08-04,beta_hedged,0.5168510891797006,0.8615384615384616,5,0.005,80.77999877929688,847695113.0,atr_pct(+0.017) | vol_63d(+0.014) | vol_10d(+0.006)
CMI,29,2026-08-04,beta_hedged,0.5165099596064726,0.8564102564102564,5,0.005,635.9600219726562,602215499.0,vol_63d(+0.009) | ret_10d(+0.004) | vol_63d_rank(+0.004)
WAT,30,2026-08-04,beta_hedged,0.5164044540017452,0.8512820512820513,5,0.005,396.0799865722656,311798089.0,vol_63d(+0.006) | vol_63d_rank(+0.004) | mkt_dispersion(+0.002)
STLD,31,2026-08-04,beta_hedged,0.5159379267961454,0.8461538461538461,5,0.005,265.1000061035156,278819995.0,close_vs_sma200(+0.008) | vol_63d(-0.006) | vol_63d_rank(+0.005)
TPR,32,2026-08-04,beta_hedged,0.5156983324029428,0.841025641025641,5,0.005,155.97000122070312,310013479.0,vol_63d(+0.006) | vol_63d_rank(+0.004) | ret_63d(+0.003)
