ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
AMD,1,2026-08-06,beta_hedged,0.5746467589605317,1.0,5,0.005,489.2799987792969,15055895270.0,atr_pct(+0.034) | vol_10d(+0.020) | vol_63d(+0.013)
MU,2,2026-08-06,beta_hedged,0.5634023134598327,0.9948717948717949,5,0.005,881.469970703125,40465904121.0,atr_pct(+0.028) | vol_10d(+0.024) | close_vs_sma200(+0.014)
AMAT,3,2026-08-06,beta_hedged,0.5597393869398575,0.9897435897435898,5,0.005,527.47998046875,4296151423.0,vol_10d(+0.021) | atr_pct(+0.018) | ret_63d(+0.011)
FTNT,4,2026-08-06,beta_hedged,0.554715201786207,0.9846153846153847,5,0.005,160.11000061035156,875003469.0,vol_63d(+0.019) | close_vs_sma200(+0.013) | vol_63d_rank(+0.008)
PANW,5,2026-08-06,beta_hedged,0.5489398398086909,0.9794871794871794,5,0.005,359.489990234375,2136039504.0,vol_63d(+0.020) | close_vs_sma200(+0.013) | vol_63d_rank(+0.007)
EPAM,6,2026-08-06,beta_hedged,0.5481847185733275,0.9743589743589743,5,0.005,93.06999969482422,160394667.0,vol_63d(+0.023) | atr_pct(+0.022) | mkt_dispersion(-0.009)
STX,7,2026-08-06,beta_hedged,0.5473814603171334,0.9692307692307692,5,0.005,852.9500122070312,4635895180.0,atr_pct(+0.025) | vol_63d(+0.018) | vol_10d(+0.014)
GDDY,8,2026-08-06,beta_hedged,0.5432179483054344,0.9641025641025641,5,0.005,90.3499984741211,182711980.0,vol_63d(+0.027) | atr_pct(+0.011) | vol_10d(+0.010)
ANET,9,2026-08-06,beta_hedged,0.5416204876500879,0.958974358974359,5,0.005,192.32000732421875,1453582392.0,vol_63d(+0.020) | ret_5d(-0.012) | ret_63d(+0.008)
CHRW,10,2026-08-06,beta_hedged,0.5374089308368801,0.9538461538461539,5,0.005,146.66000366210938,443785017.0,atr_pct(+0.023) | ret_21d_rank(-0.022) | vol_63d(+0.021)
GRMN,11,2026-08-06,beta_hedged,0.5353486446284433,0.9487179487179487,5,0.005,301.8699951171875,311886781.0,vol_63d(+0.010) | close_vs_sma200(+0.008) | ret_63d(+0.007)
DXCM,12,2026-08-06,beta_hedged,0.5332608537318894,0.9435897435897436,5,0.005,83.0199966430664,398822858.0,vol_63d(+0.010) | ret_63d(+0.009) | vol_10d(+0.008)
